LivingArea,BedroomCount,SwimmingPool,Density,Median_revenue,ConstructionYear,PEB_numerical,StateOfBuilding_numerical,BathroomCount,Kitchen_numerical,Terrace,Garden,Province_numerical
95.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
107.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
107.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
118.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
94.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
92.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
93.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,1.0,3803.0
89.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,1.0,3803.0
92.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,1.0,3803.0
91.0,2,0.0,345.303649537797,24889.085,2024.0,7.0,4.0,1.0,3.0,0.0,0.0,3803.0
96.0,2,0.0,1699.45726793099,26129.01,2022.0,,4.0,1.0,3.0,1.0,0.0,2845.0
92.0,2,0.0,329.437536884478,28474.67,2022.0,,4.0,1.0,7.0,1.0,0.0,2845.0
140.0,3,0.0,1791.19614635041,28634.0,2024.0,,,2.0,,1.0,0.0,3159.0
126.0,3,0.0,1791.19614635041,28634.0,2024.0,,,0.0,,1.0,0.0,3159.0
117.0,3,0.0,1791.19614635041,28634.0,2024.0,,,1.0,,1.0,0.0,3159.0
126.0,3,0.0,1791.19614635041,28634.0,2024.0,,,1.0,,1.0,0.0,3159.0
86.0,1,0.0,1791.19614635041,28634.0,2024.0,,,1.0,,1.0,0.0,3159.0
62.0,1,0.0,1791.19614635041,28634.0,2024.0,,,1.0,,0.0,0.0,3159.0
125.0,3,0.0,1791.19614635041,28634.0,2024.0,,,0.0,,1.0,0.0,3159.0
165.0,3,0.0,1699.45726793099,26129.01,1961.0,6.0,4.0,1.0,7.0,0.0,0.0,2845.0
117.0,3,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
117.0,3,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
84.0,2,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
84.0,2,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
84.0,2,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
117.0,3,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
117.0,3,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
84.0,2,0.0,256.948733786288,28985.39,,7.0,4.0,1.0,3.0,0.0,0.0,3159.0
